room_idx,room_name,occupied_mesh_volume,mesh_volume,ratio_occupied_mesh_volume,percentage_occupied_mesh_volume,occupied_box_volume,boxcoll_volume,ratio_occupied_boxcoll_volume,percentage_occupied_boxcoll_volume,area,area_2_boundingbox,object_count_1,mesh_obj_count,manual_object_count,num_corners,view_outside,degree,betweenness,closeness,eigenvector,pagerank
1.0,ANTIQUES,191.6665408,676.5063,0.2833181905,28.33181905,209.1676198,1047.20516,0.1997389125,19.97389125,131.4747,203.5152,40,30.0,12.0,4.0,0.0,2,0.04329004329004329,0.18487394957983194,0.05324304352175536,0.03861105072347262
2.0,TV,13.5086336,426.1793,0.03169706646,3.169706646,16.5748206,872.8552396,0.01898919757,1.898919757,116.8919,239.4064,46,47.0,21.0,3.0,1.0,2,0.0021645021645021645,0.15942028985507245,0.04013596843296474,0.03934208739469443
3.0,CANDY,11.22741139,250.5462,0.04481174086,4.481174086,37.40650981,301.6875489,0.123990897,12.3990897,61.79978,74.41332,27,26.0,26.0,4.0,0.0,2,0.04329004329004329,0.18487394957983194,0.05324304352175536,0.03861105072347262
4.0,CLASS,157.8042039,791.4453,0.1993873789,19.93873789,8.010245762,1405.931069,0.005697466922,0.5697466922,104.8363,186.2323,11,11.0,8.0,4.0,0.0,3,0.24891774891774893,0.22,0.10112564962586348,0.05424647790018033
5.0,TOOL,2.429187181,517.8192,0.004691187931,0.4691187931,14.72005578,912.8094402,0.01612609942,1.612609942,73.9641,130.3833,14,14.0,10.0,6.0,0.0,3,0.37662337662337664,0.25882352941176473,0.1618173207411761,0.05260307505002118
6.0,BEDROOM,48.96043815,331.0419,0.1478980097,14.78980097,19.19380396,501.816745,0.0382486319,3.82486319,52.04053,78.88686,22,21.0,15.0,4.0,1.0,2,0.021645021645021644,0.21359223300970873,0.09084456045296023,0.037809305370190935
7.0,ISLAND,241.2196128,2037.795,0.1183728554,11.83728554,131.2078541,2682.193886,0.04891810947,4.891810947,245.2253,322.7712,196,192.0,22.0,10.0,1.0,2,0.004329004329004329,0.205607476635514,0.07921071712528092,0.03854834027918605
8.0,PLANET,30.47774684,5093.303,0.005983886456,0.5983886456,57.83173389,7042.703881,0.008211581073,0.8211581073,165.0072,228.16,5,4.0,4.0,0.0,0.0,2,0.06493506493506493,0.23655913978494625,0.1193171790876158,0.037548042814976854
9.0,COMPUTER,22.98598165,384.0356,0.05985377826,5.985377826,21.08150967,574.0972763,0.0367211456,3.67211456,74.85239,111.8984,111,105.0,60.0,5.0,0.0,3,0.5064935064935064,0.29333333333333333,0.2373632440625744,0.05168150064423889
10.0,PAINTING,1.102516663,312.9064,0.003523471117,0.3523471117,2.512211172,768.7452982,0.003267936959,0.3267936959,57.01181,140.0648,99,106.0,19.0,4.0,0.0,3,0.5165945165945166,0.3142857142857143,0.34864339061869365,0.05046274876373455
11.0,STORAGE,82.90321867,1952.079,0.04246919242,4.246919242,98.4304388,5233.241039,0.01880869581,1.880869581,240.5749,644.9441,160,159.0,161.0,4.0,1.0,2,0.1443001443001443,0.2857142857142857,0.3113904487899341,0.03487723027923846
12.0,CHESS,1937.399054,9848.667,0.1967168809,19.67168809,646.3350663,13545.13037,0.04771715359,4.771715359,692.9103,952.9844,5,5.0,35.0,0.0,1.0,4,0.36219336219336207,0.2894736842105263,0.4775540899441418,0.06615678851912718
13.0,EMPTY,0.0,537.7804,0.0,0.0,0.0,862.5223673,0.0,0.0,65.08064,104.3804,1,0.0,0.0,4.0,1.0,2,0.03391053391053391,0.23157894736842105,0.2622913131179727,0.03624429429732878
14.0,CATS,164.034292,879.3614,0.1865379717,18.65379717,12.56699141,904.5399186,0.01389324137,1.389324137,87.47634,89.98178,16,111.0,11.0,4.0,0.0,2,0.0101010101010101,0.20754716981132076,0.2183729991530025,0.03685890683609923
15.0,RUINS,23.77783299,588.4437,0.04040799994,4.040799994,48.51688391,1167.898087,0.04154205274,4.154205274,122.733,243.5874,101,101.0,12.0,3.0,1.0,3,0.23304473304473308,0.25287356321839083,0.3171095176208166,0.05270299680229012
16.0,CLOCKS,53.07694356,168.008,0.3159191441,31.59191441,67.27560037,389.3451688,0.172791666,17.2791666,32.86012,76.14998,186,219.0,34.0,4.0,0.0,2,0.14285714285714285,0.22,0.14544727294247245,0.038727416169726345
17.0,CRYSTALS,4.169218198,326.1171,0.01278442068,1.278442068,78.86042049,514.4023472,0.1533049391,15.33049391,41.29261,65.13324,6,6.0,6.0,8.0,0.0,2,0.08658008658008659,0.19469026548672566,0.06880048757541515,0.0406406187818225
18.0,COLORFUL,62.03103171,309.9413,0.2001379994,20.01379994,62.03103171,448.5137581,0.1383035204,13.83035204,42.33323,61.26056,9,5.0,4.0,5.0,0.0,2,0.04473304473304473,0.1746031746031746,0.037098799092715073,0.041554444478439354
19.0,ALTAR,0.7360292274,480.8626,0.00153064353,0.153064353,75.9900178,774.4005649,0.09812753406,9.812753406,29.29076,47.17113,11,10.0,2.0,4.0,1.0,2,0.05050505050505051,0.18487394957983194,0.02963261593261979,0.04178704899089261
20.0,APPLECRATE,2.587197555,202.3832,0.01278365771,1.278365771,13.88246686,461.7855166,0.03006258613,3.006258613,46.09792,105.1825,113,105.0,38.0,6.0,1.0,2,0.09668109668109669,0.2037037037037037,0.04152442622651193,0.0414248647912842
21.0,BDAY,3.145120353,496.1337,0.006339259665,0.6339259665,8.386578565,668.6414341,0.01254271443,1.254271443,99.68826,134.3496,51,93.0,21.0,6.0,0.0,2,0.15151515151515152,0.23157894736842105,0.0805424866394358,0.04033584929989248
22.0,FIREPIT,8.576602313,245.7817,0.03489520299,3.489520299,8.576602313,249.6852466,0.03434965594,3.434965594,41.05645,41.70856,17,17.0,7.0,4.0,0.0,2,0.2077922077922078,0.2682926829268293,0.17217540850014712,0.0381396533550254
23.0,HUMAN,77.2795104,259.1465,0.2982078106,29.82078106,1.935988675,333.3059532,0.005808443131,0.5808443131,72.61251,93.39309,19,18.0,9.0,0.0,1.0,3,0.4083694083694083,0.3188405797101449,0.37628260256932133,0.05108620773466471
